title,url,image,genres
[A Little Life](https://www.goodreads.com/book/show/22822858-a-little-life),https://www.goodreads.com/book/show/22822858-a-little-life,![](https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446469353i/22822858._SY75_.jpg),"['Fiction', 'Contemporary', 'LGBT', 'Literary Fiction', 'Queer', 'Adult', 'Mental Health']"
[Die Einladung](https://www.goodreads.com/book/show/128611078-die-einladung),https://www.goodreads.com/book/show/128611078-die-einladung,![](https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682320836i/128611078._SY75_.jpg),"['Thriller', 'German Literature', 'Adult', 'Mystery', 'Fiction', 'Crime', 'Mystery Thriller']"
"[The Ballad of Songbirds and Snakes (The Hunger Games, #0)](https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes)",https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes,![](https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593892032i/51901147._SY75_.jpg),"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Audiobook', 'Romance']"
"[Divine Rivals (Letters of Enchantment, #1)](https://www.goodreads.com/book/show/60784546-divine-rivals)",https://www.goodreads.com/book/show/60784546-divine-rivals,![](https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655928079i/60784546._SY75_.jpg),"['Fantasy', 'Romance', 'Young Adult', 'Fiction', 'Historical Fiction', 'Fantasy Romance', 'Audiobook']"
"[Powerless (The Powerless Trilogy, #1)](https://www.goodreads.com/book/show/75513900-powerless)",https://www.goodreads.com/book/show/75513900-powerless,![](https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672676191i/75513900._SX50_.jpg),"['Fantasy', 'Romance', 'Fantasy Romance', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Dystopia']"
"[As Good As Dead (A Good Girl's Guide to Murder, #3)](https://www.goodreads.com/book/show/56905097-as-good-as-dead)",https://www.goodreads.com/book/show/56905097-as-good-as-dead,![](https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623112782i/56905097._SY75_.jpg),"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Fiction', 'Crime', 'Audiobook']"
[Lessons in Chemistry](https://www.goodreads.com/book/show/58065033-lessons-in-chemistry),https://www.goodreads.com/book/show/58065033-lessons-in-chemistry,![](https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634748496i/58065033._SY75_.jpg),"['Fiction', 'Historical Fiction', 'Audiobook', 'Romance', 'Feminism', 'Historical', 'Adult']"
[Bride](https://www.goodreads.com/book/show/181344829-bride),https://www.goodreads.com/book/show/181344829-bride,![](https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687851856i/181344829._SY75_.jpg),"['Romance', 'Fantasy', 'Paranormal', 'Vampires', 'Adult', 'Fantasy Romance', 'Paranormal Romance']"
"[Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)](https://www.goodreads.com/book/show/51335759-good-girl-bad-blood)",https://www.goodreads.com/book/show/51335759-good-girl-bad-blood,![](https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588319723i/51335759._SY75_.jpg),"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Crime', 'Fiction', 'Audiobook']"
"[Love, Theoretically](https://www.goodreads.com/book/show/61326735-love-theoretically)",https://www.goodreads.com/book/show/61326735-love-theoretically,![](https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681476644i/61326735._SY75_.jpg),"['Romance', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Adult', 'Audiobook', 'Chick Lit']"
[I'm Glad My Mom Died](https://www.goodreads.com/book/show/59364173-i-m-glad-my-mom-died),https://www.goodreads.com/book/show/59364173-i-m-glad-my-mom-died,![](https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1649286799i/59364173._SY75_.jpg),"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Mental Health', 'Autobiography', 'Adult']"
